,Processor_brand,AMD,Intel,M1
735,AMD,1.0,0.0,0.0
736,AMD,1.0,0.0,0.0
737,AMD,1.0,0.0,0.0
738,AMD,1.0,0.0,0.0
739,AMD,1.0,0.0,0.0
740,AMD,1.0,0.0,0.0
741,AMD,1.0,0.0,0.0
742,AMD,1.0,0.0,0.0
743,AMD,1.0,0.0,0.0
744,AMD,1.0,0.0,0.0
745,AMD,1.0,0.0,0.0
746,AMD,1.0,0.0,0.0
747,AMD,1.0,0.0,0.0
748,AMD,1.0,0.0,0.0
749,AMD,1.0,0.0,0.0
750,AMD,1.0,0.0,0.0
751,AMD,1.0,0.0,0.0
752,AMD,1.0,0.0,0.0
753,AMD,1.0,0.0,0.0
754,AMD,1.0,0.0,0.0
755,AMD,1.0,0.0,0.0
756,AMD,1.0,0.0,0.0
757,AMD,1.0,0.0,0.0
758,AMD,1.0,0.0,0.0
759,AMD,1.0,0.0,0.0
760,AMD,1.0,0.0,0.0
761,AMD,1.0,0.0,0.0
762,AMD,1.0,0.0,0.0
763,AMD,1.0,0.0,0.0
764,AMD,1.0,0.0,0.0
765,AMD,1.0,0.0,0.0
766,AMD,1.0,0.0,0.0
767,AMD,1.0,0.0,0.0
768,AMD,1.0,0.0,0.0
769,AMD,1.0,0.0,0.0
770,AMD,1.0,0.0,0.0
771,AMD,1.0,0.0,0.0
