,Brand,Processor_brand,Processor_name,Ram_gb,Ssd,Hdd,Os,Os_bit,Graphic_card_gb,Weight,Warranty,Touchscreen,Msoffice,Price,Number of ratings,Number of reviews
114,HP,Intel,Core i3,4,512,0,Windows,64,0,Casual,1,1,1,69267,0,0
115,ASUS,Intel,Core i3,4,512,0,Windows,64,0,Casual,1,0,1,51649,0,0
116,HP,Intel,Core i3,4,512,0,Windows,64,0,ThinNlight,1,0,1,47990,1605,215
117,ASUS,Intel,Core i3,4,512,0,Windows,64,0,Casual,1,0,0,40990,4008,519
118,ASUS,Intel,Core i3,4,512,0,Windows,64,0,ThinNlight,1,0,1,42990,1869,234
119,ASUS,Intel,Core i3,4,512,0,Windows,64,0,Casual,1,0,0,44890,7,0
120,ASUS,Intel,Core i3,4,512,0,Windows,64,0,Casual,1,0,0,41490,4008,519
121,HP,Intel,Core i3,4,512,0,Windows,32,0,ThinNlight,1,0,0,50990,0,0
122,HP,Intel,Core i3,4,512,0,Windows,64,0,ThinNlight,1,0,1,48900,1278,135
123,DELL,Intel,Core i3,4,512,0,Windows,64,0,Casual,1,0,0,41790,0,0
124,Lenovo,Intel,Core i3,4,512,0,Windows,64,0,Casual,1,1,1,57999,10,2
125,DELL,Intel,Core i3,8,512,0,Windows,64,0,ThinNlight,1,0,0,45930,0,0
126,HP,Intel,Core i3,8,512,0,Windows,64,0,Casual,1,1,1,55490,143,15
127,ASUS,Intel,Core i3,8,512,1024,Windows,64,0,Casual,1,0,0,32890,28,4
128,Lenovo,Intel,Core i3,8,512,1024,Windows,64,0,ThinNlight,1,0,1,35990,2124,233
129,DELL,Intel,Core i3,8,512,1024,Windows,64,0,ThinNlight,1,0,0,42490,276,40
130,DELL,Intel,Core i3,8,512,1024,Windows,64,0,ThinNlight,1,0,0,42190,250,21
131,DELL,Intel,Core i3,8,512,1024,Windows,64,0,ThinNlight,1,0,1,39490,1917,189
132,HP,Intel,Core i3,8,512,1024,Windows,64,0,ThinNlight,1,0,1,43690,4999,490
133,ASUS,Intel,Core i3,4,512,1024,Windows,64,0,Casual,1,0,0,35990,17,0
134,DELL,Intel,Core i3,8,512,1024,Windows,32,0,Casual,1,0,0,43800,17,0
135,Lenovo,Intel,Core i3,8,512,1024,Windows,32,0,Casual,1,0,0,38990,0,0
136,ASUS,Intel,Core i3,4,512,1024,Windows,64,0,ThinNlight,1,0,0,34990,4203,490
137,ASUS,Intel,Core i3,8,512,1024,Windows,64,0,Casual,1,0,0,38900,13,0
138,DELL,Intel,Core i3,4,512,1024,Windows,64,0,ThinNlight,1,0,0,39990,15,1
139,DELL,Intel,Core i3,4,512,1024,Windows,32,0,Casual,1,0,0,40890,527,46
140,Lenovo,Intel,Core i3,4,512,1024,Windows,64,0,ThinNlight,1,0,0,36990,103,10
141,HP,Intel,Core i3,4,512,1024,Windows,64,0,ThinNlight,1,0,1,39990,324,45
142,HP,Intel,Core i3,4,512,1024,Windows,64,0,ThinNlight,1,0,1,41990,69,5
143,DELL,Intel,Core i3,4,512,1024,Windows,32,0,Casual,1,0,0,43970,16,0
144,HP,Intel,Core i3,4,512,1024,Windows,64,0,ThinNlight,1,0,0,39790,40,3
145,ASUS,Intel,Core i3,4,512,1024,Windows,32,0,ThinNlight,1,0,0,35590,12,1
146,HP,Intel,Core i3,4,512,1024,Windows,64,0,ThinNlight,1,0,1,36490,1146,175
147,ASUS,Intel,Core i3,4,512,1024,Windows,64,0,ThinNlight,1,0,1,38990,1850,216
148,ASUS,Intel,Core i3,4,512,1024,Windows,32,0,ThinNlight,1,0,0,33990,43,7
149,DELL,Intel,Core i3,4,512,1024,Windows,64,0,Casual,1,0,1,43400,231,26
150,ASUS,Intel,Celeron Dual,4,512,512,Windows,32,0,Casual,1,0,0,24990,502,93
151,HP,Intel,Core i3,4,512,1024,Windows,64,0,ThinNlight,1,0,1,40750,1096,116
152,DELL,Intel,Core i3,4,512,1024,Windows,64,0,ThinNlight,1,0,1,43000,313,35
153,ASUS,Intel,Core i3,4,512,1024,Windows,64,0,Casual,1,0,0,38000,7,0
154,DELL,Intel,Core i3,8,512,1024,Windows,64,0,ThinNlight,1,0,1,37990,265,46
155,HP,Intel,Core i3,8,512,1024,Windows,64,2,Casual,1,0,0,49279,38,3
156,Lenovo,Intel,Core i3,8,512,1024,Windows,32,0,Casual,1,0,0,38999,7,2
157,ASUS,Intel,Core i3,8,512,1024,Windows,32,0,Casual,1,0,0,41500,4,0
158,acer,Intel,Core i3,4,512,1024,Windows,32,0,Casual,1,0,0,36999,0,0
159,DELL,Intel,Core i3,8,512,1024,Windows,32,0,Casual,1,0,0,42900,0,0
160,ASUS,Intel,Celeron Dual,4,512,512,Windows,32,0,Casual,1,0,0,21490,818,113
161,DELL,Intel,Core i3,8,512,1024,Windows,32,0,Casual,1,0,0,41480,25,4
162,ASUS,Intel,Core i3,8,512,1024,Windows,64,0,Casual,1,0,0,32990,12,0
163,ASUS,Intel,Core i3,8,512,1024,Windows,64,0,Casual,1,0,0,38680,17,1
164,ASUS,Intel,Celeron Dual,4,512,512,Windows,32,0,Casual,1,0,0,23990,974,170
165,DELL,Intel,Core i3,8,512,1024,Windows,64,0,ThinNlight,1,0,0,40390,83,15
166,ASUS,Intel,Core i3,4,512,1024,Windows,64,0,ThinNlight,1,0,0,33990,31,6
167,ASUS,Intel,Celeron Dual,4,512,512,Windows,32,0,Casual,1,0,0,20490,637,91
168,DELL,Intel,Core i3,8,256,1024,Windows,64,0,ThinNlight,1,0,1,41490,7,5
169,DELL,Intel,Core i3,8,256,1024,Windows,64,0,Casual,1,0,0,45490,207,16
170,DELL,Intel,Core i3,8,256,1024,Windows,64,0,Casual,1,0,0,44490,844,103
171,ASUS,Intel,Core i3,8,256,1024,Windows,64,0,Casual,1,0,1,41890,53,6
